id,title,rater,perspective
2Bz38r,Døde kropper i gatene: – En massakre på uskyldige sivile,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
ab9335,Sammen i sorgen,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
ab9OaM,Frykter katastrofe: Israel kutter mat og vann til én million barn,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
Kn419E,Skyter med skarpt mot demonstrantene,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
wA20wG,Hamas «øvde» på angrep: Publiserte video nesten en måned før terror,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
4oweBG,Desperat kirurg forteller: – Vi har ikke kapasiteten til å hjelpe,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
15JQpq,USAs jøder splittes om krigen: – Motbydelig,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
RG7xBd,Israel : Angrep moské i Jenin,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
APnvxE,Bombingen i Gaza: Norge må på banen!,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
gE97k5,Norske Mariam (6) er innesperret på Gazastripen: – Jeg er veldig redd,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
nQ6r3x,Netanyahu ber sivile flykte: – Krigen blir lang,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
kEgG6j,Barth Eide om svensk og dansk Gaza-nei: – Skulle gjerne hatt dem med,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
2B7Axv,Faren til Hamas-gissel: - Hjertet mitt sluttet nesten å slå,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
Kng5v4,Flere har krysset grensen fra Gaza til Egypt,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
MoeA6R,Hizbollah-lederen roser Hamas for terrorangrepet 7. oktober,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
8Jd90w,Sykehusdirektør: 15 drept i angrep på FN-skole i Gaza,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
3E87M0,Solgte avokado fra Peru – var egentlig fra Israel,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
O852oO,På innsiden av UDs krisestab: – Vi jobber på spreng,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
bgl52l,Safwat (57) får forlate Gaza – kan bli nødt til å gå i timevis,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
nQoOpx,Israel og Hamas enige om avtale: Fire dagers våpenhvile og løslatelse av 50 gisler,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
